slug,title,career_code,education,sponsor,career_grades,type_works,posts,tasks_count
增材制造设备操作员,增材制造设备操作员,6-18-01-13,高中毕业（或同等学力）,广州市技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"制图员,逆向数据采集技术员,3D打印设备操作员,后处理钳工,产品设计工程师,3D打印工艺工程师,3D打印销售工程师,3D打印设备装调员,3D打印设备维修工程师",6
多工序数控机床操作调整工,多工序数控机床操作调整工,6-18-01-07,高中毕业（或同等学力）,宁波技师学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师","数控机加生产线操作调整工,数控组合机床操作调整工,加工中心操作调整工,复合机床操作调整工","车工,铣工,加工中心操作工,组合机床操作工,数控程序员",8
宠物美容师,宠物美容师,4-10-07-03,初中毕业（或相当文化程度）,青岛市技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"宠物美容师,到家宠物护理员,宠物洗护师",6
室内装饰设计师,室内装饰设计师,4-08-08-07,高中毕业（或同等学力）,三维家,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",装修污染管控师,"实习室内设计师,室内设计师助理,全屋定制绘图员,室内方案助理设计师,全屋定制设计师,软装设计师,橱柜定制设计师,定制家具设计师,设计拆单员,室内设计师,工装室内设计师,室内设计总监,室内设计经理,室内设计主管",6
家政服务员,家政服务员,4-10-01-06,初中毕业（或相当文化程度）,小熊美家,"五级/初级工,四级/中级工,三级/高级工","母婴护理员,整理收纳师,家务服务员,家庭照护员","家务嫂,护老员,母婴照护员",8
工业废水处理工,工业废水处理工,6-28-03-03,初中毕业（或相当文化程度）,浙江省生态与环境修复技术协会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"废水处理工程师,废水处理工业设计师,废水运营技术员,废水处理操作工,废水处理实验员",6
工业机器人系统操作员,工业机器人系统操作员,6-31-07-03,高中毕业（或同等学力）,重庆市职业技能公共实训中心、山东昌乐技师学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"工业机器人调试,工业机器人应用,工业机器人操作,工业机器人销售,工业机器人培训",7
工业机器人系统运维员,工业机器人系统运维员,6-31-07-01,初中毕业（或相当文化程度）,江西技师学院,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"工业机器人系统运维员,工业机器人运维工程师,工业机器人系统维护员,工业机器人调试与维护工程师,工业机器人电气运维工程师,机器人自动化系统运维专员,工业机器人维保工程师,机器人维护员,自动化运维技术员",6
工程测量员,工程测量员,4-08-03-04,高中毕业（或同等学力）,山西交通技师学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","地质测量员,矿山测量员","测量主管,市政测量员,测绘仪器销售工程师,隧道测量员,桥梁测量工程师,水利工程测量员,地下管线测量员,古建筑文物测量员,变形监测测量员",5
广告设计师,广告设计师,4-08-08-08,初中毕业（或相当文化程度）,镇江市广告协会,"四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"平面广告设计师,视觉设计师（偏广告方向）,创意设计师（广告/传媒行业）,UI/广告双栖设计师,整合营销设计师（广告+活动+全案设计）,动态广告设计师,元宇宙视觉设计师",4
建筑信息模型技术员,建筑信息模型技术员,4-08-08-23,高中毕业（或同等学力）,中国铁道工程建设协会标准委员会,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"BIM模型生产工程师,BIM信息应用工程师,/BIM专业分析师,BIM管理工程师",4
快递员,快递员,4-02-07-08,初中毕业（或相当文化程度）,浙江邮电职业技术学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"快递员,物流专员,配送专员,电商物流专员,快递客服专员,快递驿站营业员",8
护林员,护林员,5-02-03-01,高中毕业（或同等学力）,大兴安岭技师学院、大兴安岭林业集团公司,"五级/初级工,四级/中级工,三级/高级工",,"护林员,森林巡查护林员,森林防火保安,护林班长,护林队长",7
插花花艺师,插花花艺师,4-09-10-05,大学专科学历（或高等职业学校毕业）,滨州职业学院,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师",,"插花花艺师,花艺设计师,插花助理,花艺策划,仿真花设计员,仿真花绿植设计师,花艺销售员,花艺顾问,花艺培训师",4
救援机械操作员,救援机械操作员,6-30-02-05,初中毕业（或相当文化程度）,江苏交控人才集团,"五级/初级工,四级/中级工,三级/高级工,二级/技师,一级/高级技师","救援起复工,救援机械司机","清障车驾驶员,救援拖车司机,清障救援队员,救援调度",6
